材料,酶活,底物,pH,温度(℃),指标,等级,tier,文献数,倍数,疑因标签,逐条取值(DOI=值),人工复核结论,复核备注
co3o4,peroxidase,TMB,5.0,25.0,km_mm,严重,3,4,13.24,跨文献,10.1021/am406033q=0.49 | 10.1021/am406033q=0.49 | 10.1039/c2cc17013b=0.037 | 10.1039/c2cc17013b=0.037 | 10.1039/c2cc17013b=0.037 | 10.1021/acs.inorgchem.9b03512=0.07 | 10.1021/acs.inorgchem.9b03512=0.12 | na-1591=0.11,,
mos2,peroxidase,H2O2,4.0,25.0,km_mm,严重,3,3,69.48,跨文献,10.1039/c6ra18050g=0.366 | 10.1039/c7tb02676e=1.22 | 10.1039/c7tb02676e=1.98 | 10.1039/c7tb02676e=6.74 | 10.1039/c7tb02676e=8.06 | 10.1039/c8nj03996h=0.116,,
mno2,oxidase,TMB,4.0,25.0,vmax_um_s,严重,3,2,64.62,跨文献,10.1007/s12274-020-2680-5=5.63 | 10.1007/s12274-020-2680-5=1.58 | 10.1007/s12274-020-2680-5=16.8 | 10.1016/j.bios.2018.08.004=0.25999999999999995,,
mnco2o4,oxidase,TMB,4.0,25.0,vmax_um_s,严重,3,2,5.46,跨文献,10.1016/j.snb.2018.04.150=0.0604 | 10.1016/j.snb.2018.04.150=0.0604 | 10.1016/j.snb.2018.04.150=0.060399999999999995 | 10.1021/acs.analchem.0c01886=0.33 | 10.1021/acs.analchem.0c01886=0.33,,
ceo2,oxidase,ABTS,4.0,25.0,kcat_s,严重,3,2,4.59,跨文献,10.1039/c6nr02730j=2.8 | 10.1039/c6nr02730j=2.8 | 10.1039/c9nr05346h=12.84 | 10.1039/c9nr05346h=12.84 | 10.1039/c9nr05346h=2.8 | 10.1039/c9nr05346h=2.8,,
fe3o4,peroxidase,TMB,4.0,25.0,km_mm,严重,3,8,23.2,跨文献,10.1016/j.biomaterials.2009.05.005=0.24 | 10.1021/jacs.7b00601=0.295 | 10.1021/jacs.7b00601=0.295 | 10.1021/jacs.7b00601=0.295 | 10.1039/c7ay00750g=0.107 | 10.1039/c7ay00750g=0.107 | 10.1039/c7ay00750g=0.107 | 10.1088/1361-6528/ab2026=0.083 | 10.1088/1361-6528/ab2026=0.083 | 10.1002/chem.201001789=0.23 | 10.1002/chem.201001789=0.46 | 10.1002/chem.201001789=0.58 | 10.1002/chem.201101191=0.173 | 10.1021/acs.analchem.9b04116=0.088 | 10.1021/acs.analchem.9b04116=0.26 | 10.1039/c8nj01190g=0.025,,
co3o4,peroxidase,TMB,5.0,25.0,vmax_um_s,严重,3,4,4833836.86,跨文献,10.1021/am406033q=0.16 | 10.1021/am406033q=0.16 | 10.1039/c2cc17013b=0.0627 | 10.1039/c2cc17013b=0.0627 | 10.1039/c2cc17013b=0.0627 | 10.1021/acs.inorgchem.9b03512=0.158 | 10.1021/acs.inorgchem.9b03512=0.011399999999999999 | na-1591=3.31e-08,,
pd,peroxidase,H2O2,4.0,20.0,km_mm,严重,3,3,5.33,跨文献,10.1039/c5an01103e=137.0 | 10.1039/c5an01103e=156.0 | 10.1039/c5an01103e=254.0 | 10.1021/acsnano.5b03525=700.0 | 10.1007/s11434-016-1193-9=730.0,,
pt,peroxidase,H2O2,4.0,37.0,vmax_um_s,严重,3,2,4.16,跨文献,10.1016/j.snb.2017.07.108=0.031 | 10.1039/c6an02722a=0.129 | 10.1039/c6an02722a=0.047299999999999995,,
pdpt,peroxidase,H2O2,4.0,25.0,km_mm,严重,3,2,55.0,跨文献,10.1002/adfm.201801484=14.0 | 10.1016/j.sintl.2020.100031=350.0 | 10.1016/j.sintl.2020.100031=390.0 | 10.1016/j.sintl.2020.100031=770.0,,
